Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
80238,Sulzberg,1832,17.8,17,18.1,78.2,1.7,65.1,9.6,59.4,688,2.6,494,193,200,647
80237,Sibratsgfäll,422,16.1,22,11.4,82,1.3,71.5,5.4,67.6,164,2.57,115,53,57,104
80236,Schwarzenberg,1819,17.3,15.9,8.9,80.2,1.8,62.9,11.8,64.7,696,2.6,475,213,229,741
80235,Schwarzach,3939,16.2,18.7,14.8,78.4,3.6,61.4,16.1,79,1669,2.35,1165,299,326,2434
80234,Schröcken,208,16.3,18.3,15.9,82.4,7.9,60.3,12.1,56.9,84,2.48,54,42,44,90
80233,Schoppernau,947,17.5,19.3,9.8,75.9,7.1,64.1,7.2,57.8,368,2.57,258,109,115,324
80232,Schnepfau,459,15.3,16.1,12.9,81.6,1.9,64,6.7,70.8,174,2.64,129,54,59,149
80231,Riefensberg,1064,18.9,15,18,79.4,2,67.1,5.3,59,398,2.67,282,121,128,410
80230,Reuthe,663,17.8,13.1,17.8,82.5,2,63.7,7.3,61.9,262,2.49,170,49,51,579
80229,Möggers,513,13.8,12.5,12.9,81.5,3.6,72.6,4.8,71.6,196,2.62,148,48,50,136
80228,Mittelberg,4989,12.3,19.9,46.3,71,6.6,68.1,7.5,12.4,2191,2.18,1333,603,664,2737
80227,Mellau,1290,16.7,17.8,13.3,78.5,5.2,63.1,7.7,54,518,2.49,343,147,153,650
80226,Lochau,6018,13,23.9,22,70.9,5,56.5,16.8,81.5,2947,2,1652,397,443,1631
80225,Lingenau,1537,18.9,14.3,11,79.8,1.6,63.7,11.9,67.6,579,2.64,404,171,184,659
80224,Lauterach,10271,16.3,15.9,17.2,77.1,4,60,11.7,76.5,4376,2.33,2923,629,709,5325
80223,Langenegg,1131,17.8,14.4,11.1,78.4,1.4,64.7,9.4,64.9,422,2.62,317,101,113,575
80222,Langen bei Bregenz,1438,14.7,18.2,13.2,79.5,2.4,65.5,9.4,68.2,564,2.49,416,131,141,474
80221,Krumbach,1041,15.3,18.1,10.2,78.1,3.1,63,7,75.5,453,2.3,294,86,93,204
80220,Kennelbach,1942,15.9,21,16.5,72.9,4.3,56.7,12.1,86.4,826,2.34,557,106,116,938
80219,Hohenweiler,1320,14.5,15.8,17.9,77.3,2.9,64.7,11.1,85.1,509,2.56,392,78,84,177
80218,Hörbranz,6508,15.2,18.6,17.2,75.5,4.6,61,10.9,75.6,2750,2.34,1859,395,427,2264
80217,Höchst,8116,16.3,17.2,15.7,75.2,4,59.7,10.3,65.7,3237,2.48,2347,506,559,5562
80216,Hittisau,2059,18.3,14.9,16.6,79.1,2.1,61.6,9,58.9,816,2.49,559,227,244,992
80215,Hard,13648,16.1,17.6,18.8,74.2,5.3,56.8,11.4,71.1,5816,2.32,3815,863,963,5843
80214,Gaißau,1835,16.8,16.9,12.2,77.5,2.7,64.7,9.8,80.6,668,2.67,522,100,109,762
80213,Fußach,3921,17.4,16,16.9,75,5.3,60.5,10,84.3,1535,2.55,1120,207,224,1466
80212,Eichenberg,417,20.4,14.1,18.7,82.8,2.5,66.3,11.1,56.6,152,2.74,110,54,55,158
80211,Egg,3601,16.7,16.4,8.1,82.1,2.1,66.9,10,63.7,1415,2.52,994,376,418,1745
80210,Doren,1028,15.8,18.1,12.9,79.6,2.1,63.9,8.8,69.9,408,2.52,302,98,102,334
80209,Damüls,313,17.3,21.1,13.7,67.9,15.6,68.3,5.4,29.7,124,2.52,86,75,78,179
80208,Buch,600,17.2,16.3,5.2,81.2,1.5,67.2,6.4,81.3,224,2.68,170,53,56,103
80207,Bregenz,29697,15.3,19.2,25.6,69.5,7.6,51.3,14.7,58.3,14091,2.07,7651,1917,2303,19342
80206,Bizau,1124,19,16.4,12.3,80.7,1.5,63.8,8.2,64.2,420,2.65,297,96,103,401
80205,Bildstein,780,15.8,16.2,7.2,79.5,2.5,64.7,12.6,81.5,325,2.4,228,72,77,121
80204,Bezau,2003,16.8,16.4,16.5,80.7,2.5,63.2,8.6,56.5,770,2.56,525,245,268,1199
80203,Au,1767,17.3,15.8,7.1,80.1,4.2,66.7,7.3,47.4,672,2.61,475,192,206,935
80202,Andelsbuch,2639,20.7,14.6,8.9,79.5,2,65,9.5,64,966,2.7,705,256,276,1231
80201,Alberschwende,3240,18.4,15,7.5,78.4,2.5,65.7,10.4,71.1,1222,2.63,880,287,313,1010
80129,Vandans,2682,15,19.6,12.4,74.5,4.8,66.3,10.8,79.8,1136,2.35,796,122,138,978
80128,Tschagguns,2197,14.9,20.5,11.3,73.4,6.9,67.2,8.1,79.1,951,2.31,646,143,157,430
80127,Thüringerberg,724,20.3,15.9,6.1,78.6,2.9,70.2,9.4,73.5,265,2.73,208,65,71,182
80126,Thüringen,2209,16.7,17.1,13.3,77,3.2,63.9,12.5,78.7,934,2.36,651,122,138,1259
80125,Stallehr,275,18.2,16,12.4,80.7,3.2,72.9,9.3,87.2,108,2.55,76,16,17,48
80124,Sonntag,647,17.9,14.8,5.1,83.4,2.1,70.2,4.5,61.7,232,2.79,165,84,94,293
80123,Silbertal,843,16.5,16.8,3.6,79.4,5.1,72.3,3.4,84.1,310,2.72,248,48,53,134
80122,Schruns,3910,14.9,23.1,19.8,70.9,7.1,61.6,13,54.2,1810,2.11,1058,367,432,2989
80121,St. Gerold,408,17.2,14.7,14,74.1,5.5,63,10.1,75.6,154,2.65,112,34,37,98
80120,St. Gallenkirch,2217,13.8,22,13.1,70.1,9.4,67.8,5.1,65,930,2.32,625,184,207,642
80119,St. Anton im Montafon,693,16.2,18.3,9.2,76.7,3.3,64.2,9.3,84.4,298,2.33,203,37,37,130
80118,Raggal,862,17.4,15.8,9.2,78.5,2.7,66.6,8.4,74.2,346,2.49,237,80,87,199
80117,Nüziders,4980,16.2,19.7,11.6,77.2,3.4,63.8,14.2,80.5,2108,2.34,1449,292,318,2309
80116,Nenzing,6193,15.5,17.8,13.5,77.3,4,62.4,9.3,73.7,2554,2.41,1815,392,452,4881
80115,Ludesch,3597,17.2,13.5,16.5,77.5,3.4,60.9,10.1,83.2,1486,2.4,1025,196,224,1133
80114,Lorüns,292,18.2,19.9,19.2,73.5,2.9,63.2,7.9,91,124,2.35,86,17,22,72
80113,Lech,1585,11.6,19.1,19.4,64.6,18.4,65.2,13.6,16,704,2.23,416,411,438,1238
80112,Klösterle,682,15.7,19.8,14.4,71.1,7.8,72.2,6.8,59.4,293,2.33,197,87,103,335
80111,Innerbraz,1000,15.3,20.2,12.4,76.9,2.9,62.8,9.1,87.6,380,2.51,277,51,60,229
80110,Gaschurn,1446,13.4,21.5,11.3,66.7,11.9,68.6,6.7,60.4,628,2.3,428,147,166,523
80109,Fontanella,456,19.5,16,5.3,78.2,4.7,66.2,5.4,61,165,2.76,118,53,57,157
80108,Dalaas,1603,17.8,18,15.3,74,5.4,68,7.5,76,628,2.51,471,105,117,320
80107,Bürserberg,547,12.8,18.8,11.7,77.5,4.2,68.1,9,75.1,229,2.39,165,51,60,171
80106,Bürs,3368,15.6,16.6,18.4,75.6,4.5,61.1,9.4,75.7,1480,2.26,984,204,284,2690
80105,Brand,726,13.8,18.2,23.4,71.3,13.2,66.1,10.9,45.3,302,2.38,195,97,101,414
80104,Bludesch,2400,17.1,13,21,76.4,4.5,58.2,9.3,85.5,1011,2.37,669,131,147,902
80103,Bludenz,14832,15.1,18.6,25.7,73.7,6,55.4,10.9,58.9,6807,2.15,4020,919,1100,7982
80102,Blons,328,21.3,14.3,5.8,81.5,2.7,58.1,7,72.9,115,2.85,86,34,37,93
80101,Bartholomäberg,2365,17.3,18.3,9,78.3,3.1,65.7,8.2,80.7,876,2.66,663,138,152,452
70941,Zellberg,661,16.9,16.8,5.1,71.5,7.1,64.3,4.6,69.1,244,2.71,192,71,78,329
70940,Zell am Ziller,1719,14.1,21.4,14.3,75.7,7.7,64.5,7.7,57.3,712,2.37,483,274,313,1573
70939,Wiesing,2141,14.9,17.9,9.1,80.6,2.7,68,10,81.4,903,2.33,630,154,174,638
70938,Weerberg,2499,17.8,16.1,5,83.2,1.2,65.8,6.7,78.7,963,2.6,750,162,176,386
70937,Weer,1584,14.7,17,10.5,81.6,1.6,66.2,12.1,77.5,697,2.27,467,130,144,653
70936,Vomp,5226,16.3,17.3,11.9,80.4,2.2,64.5,11.6,75.5,2121,2.43,1510,341,417,2836
70935,Uderns,1844,16.2,13.9,12.3,79.1,4.5,66.3,6,77.9,747,2.47,529,120,137,632
70934,Tux,1953,14.7,16.1,15.5,81.1,2.3,63.7,4.1,22.5,740,2.6,545,230,254,1589
70933,Terfens,2179,18.2,15.3,8.9,82,1.9,66.4,11.5,75,887,2.46,637,179,194,1082
70932,Stummerberg,852,16.4,18.7,3.8,74.5,2.8,58.7,3.4,80.4,305,2.79,237,63,67,119
70931,Stumm,1916,14.9,17.2,10.4,79.5,5,65.3,9.2,71.2,789,2.43,555,166,176,604
70930,Strass im Zillertal,843,15.7,15.8,7.1,82.5,2.2,64,9.8,77.2,324,2.6,244,87,107,853
70929,Steinberg am Rofan,281,10,30.2,16,76.2,2.8,71.9,4.3,61.2,116,2.42,83,33,35,75
70928,Stans,2126,15.6,16.7,9.3,80.9,2,65.6,14,77.9,897,2.35,629,139,158,1228
70927,Schwendau,1748,17,16,11.2,74.4,7.1,63.8,5.8,75.4,665,2.62,506,136,150,445
70926,Schwaz,13763,14.6,18.3,15.7,75.9,3.9,58.2,12.2,57.1,6162,2.19,3811,909,1113,9356
70925,Schlitters,1508,15.5,14.2,13.3,76.7,4.4,63.1,4.9,76.9,570,2.62,429,105,127,578
70924,Rohrberg,580,20,12.8,5.7,77.7,6,61.2,5.2,71.8,210,2.76,159,58,64,243
70923,Ried im Zillertal,1274,14,14.8,17.2,74.1,6.8,63,5.9,77.6,558,2.28,367,86,92,652
70922,Ramsau im Zillertal,1652,13.8,12.9,12.1,73.9,9.5,63.1,6.3,71.1,685,2.41,474,164,187,867
70921,Pill,1187,16.9,15.8,7,80.7,2.7,65.1,11.9,79.7,478,2.48,361,88,94,578
70920,Mayrhofen,3885,14.6,19.7,21.9,66.5,14.1,63.5,6.7,38,1590,2.38,1055,487,569,2733
70918,Kaltenbach,1310,16.6,16.5,16.3,73,8,59.7,6.5,66,525,2.5,378,105,136,1206
70917,Jenbach,7211,15.1,18.8,20.5,73.8,4.7,57.5,9.1,70,3267,2.18,2025,344,423,4119
70916,Hippach,1445,16.2,16.6,8.1,74.4,8.3,63.8,2.2,76.4,551,2.62,411,122,133,246
70915,Hart im Zillertal,1585,17.2,14.3,7.7,81.3,3.1,61.1,7.6,74.9,636,2.49,452,136,141,342
70914,Hainzenberg,716,16.6,17.2,9.4,73.4,6.9,64.3,4.7,78.1,264,2.71,205,59,63,123
70913,Gerlosberg,476,17.2,13.2,2.9,74.3,8.4,61.4,1.8,78.8,177,2.69,131,34,39,64
70912,Gerlos,807,16.4,17.6,12.9,61.4,20.5,67,4.3,19.5,298,2.64,232,151,166,460
70911,Gallzein,678,22.4,13.4,4.6,84.8,1.8,65.2,7.2,77.3,254,2.67,199,52,55,145
70910,Fügenberg,1403,17.4,15.2,6.9,81.6,3.3,64.5,6,72.3,549,2.56,414,129,139,356
70909,Fügen,4230,15.8,17,20.8,77.2,4.6,60.9,7.6,58.2,1745,2.36,1187,351,399,2988
70908,Finkenberg,1419,11.4,21.8,12.8,76.6,6.7,63.5,5.9,60.5,556,2.52,418,159,177,583
70907,Eben am Achensee,3265,14.2,17.7,24.9,78.4,4.2,63.9,10.6,47.5,1443,2.22,935,340,377,1852
70905,Buch in Tirol,2607,14.8,17.5,8.2,80.2,2.3,66.4,10.5,83.7,1079,2.42,780,157,179,599
70904,Bruck am Ziller,1121,18.1,17.4,5.8,82.8,1.8,60.2,8.7,83.7,429,2.61,325,68,74,138
70903,Brandberg,361,20.8,17.2,3,78.6,2.2,63.6,6.6,70.6,120,3.01,92,36,41,108
70902,Aschau im Zillertal,1846,17.8,14.8,11.3,78.6,4.8,65.5,4.4,74.4,729,2.53,529,131,154,473
70901,Achenkirch,2207,12.1,22.4,19.8,76.6,2.6,67.2,6.9,49,972,2.24,640,190,208,1073
70837,Zöblen,233,11.6,25.3,18.5,78.9,1.6,64.1,9.7,68.9,94,2.48,70,27,27,52
70836,Weißenbach am Lech,1257,14.1,18.5,11.2,75.2,2.6,66.5,6.2,80.2,543,2.31,382,72,83,280
70835,Wängle,934,14.2,20.9,13.8,77.6,1.9,68.9,10.4,88.3,393,2.38,277,43,48,95
70834,Vorderhornbach,250,11.2,22,6.8,76,3.7,62.2,14.9,79.4,101,2.48,75,18,21,50
70833,Vils,1482,14,20.4,20.3,73.4,1.6,67.7,7,62.1,621,2.39,428,96,102,643
70832,Tannheim,1098,14.8,16.8,25.3,75.8,5.1,72.5,4.6,39.3,442,2.46,323,143,159,728
70831,Steeg,664,16.9,15.8,5.3,70,12.6,66.8,3.1,59.2,235,2.83,187,69,72,209
70830,Stanzach,459,9.8,23.5,15,73.9,5.3,65.2,9.7,65.2,192,2.39,142,45,50,159
70829,Schattwald,448,17.4,17,20.3,75.5,3,68.6,7.3,62.4,170,2.64,127,44,50,147
70828,Reutte,6899,15.6,18.7,28.2,72.9,4.6,55,10.5,56.4,3113,2.2,1859,439,594,4223
70827,Pinswang,417,19.9,20.1,23,70,1.6,71.3,10.5,76,168,2.48,124,30,33,104
70826,Pflach,1433,16.7,16.9,25.3,70.9,3.7,66.5,12.7,86.9,575,2.49,438,78,86,272
70825,Pfafflar,107,9.3,21.5,10.3,71.6,6.9,50.5,10.3,68.5,43,2.49,28,13,13,25
70824,Nesselwängle,460,15.9,20.9,17.6,71.8,6.9,70.5,7.2,65.1,188,2.45,137,49,58,215
70823,Namlos,73,12.3,11,11,69.6,8.9,50,3.1,69.2,32,2.28,22,7,8,16
70822,Musau,389,13.1,22.9,14.9,75.9,1.5,68.6,6.5,89.5,163,2.39,120,18,19,44
70821,Lermoos,1147,13.3,20,24.8,69.4,9.8,66.9,9.3,41.6,504,2.18,309,141,160,758
70820,Lechaschau,2109,14,19.1,17.2,76.5,3.7,64.6,9.5,79.8,948,2.22,617,111,127,829
70819,Kaisers,75,12,18.7,9.3,71.2,4.9,60.6,10.6,64.1,30,2.5,17,14,15,20
70818,Jungholz,303,9.9,21.1,67.3,60.3,1.5,63.7,5.5,36.8,125,2.25,78,38,41,129
70817,Holzgau,403,15.9,19.1,12.2,64.5,14.4,61.1,10.6,56.1,162,2.49,112,58,66,119
70816,Höfen,1212,13.6,21.2,10.7,79.2,2.9,69.7,8,75.8,507,2.39,368,77,86,613
70815,Hinterhornbach,90,16.7,24.4,5.6,83,2.1,66.7,2.7,63,33,2.73,29,9,9,19
70814,Heiterwang,522,14.2,22,10.2,79.9,6.2,71,8.7,77.3,229,2.28,160,43,46,86
70813,Häselgehr,677,13.7,18.6,10.3,77.5,4.5,65.1,7.5,78.6,253,2.68,197,58,61,105
70812,Gramais,42,11.9,26.2,14.3,69.2,0,54.1,10.8,63.2,17,2.47,13,7,7,13
70811,Grän,595,11.9,17.5,28.4,75.5,3.3,64.9,6.9,31.4,208,2.63,167,78,85,657
70810,Forchach,265,16.6,20,10.9,75,3.7,74.7,3.6,72.6,97,2.73,81,12,14,112
70809,Elmen,384,14.8,26.3,12.2,76.1,3.8,63.6,6.4,79.6,171,2.25,116,29,30,65
70808,Elbigenalp,874,16.7,16.6,10.9,74.3,6.6,64,9.9,50.2,352,2.48,259,89,97,445
70807,Ehrwald,2600,10.1,26.6,26.7,70.8,6.7,68.1,8.8,45.2,1256,2.07,766,260,286,1044
70806,Ehenbichl,823,13.9,24.9,13.1,75.6,2.8,63,14.2,72.5,351,2.18,217,52,61,766
70805,Breitenwang,1461,12.9,20.1,15.4,76.3,3,68.1,11.6,59.8,630,2.32,425,72,84,2808
70804,Bichlbach,782,14.6,22.3,18.3,74.1,6.8,64.4,7.8,76.6,320,2.44,244,48,56,133
70803,Biberwier,621,12.1,21.7,19,71.8,9.4,62.6,10.4,66.2,289,2.15,186,115,125,280
70802,Berwang,580,12.9,21.4,20.3,66.1,10.2,65.1,8.1,46.5,241,2.41,169,85,91,219
70801,Bach,632,15.3,14.6,6.6,68.6,8.9,65,5.2,71.3,233,2.71,182,66,69,118
70735,Heinfels,988,15.5,15.8,6.9,76.9,2.2,67.3,9.9,60.6,372,2.66,266,69,86,951
70734,Virgen,2200,17.6,16,3.3,75.4,5.2,69.4,5.4,74.1,781,2.82,632,128,141,387
70733,Untertilliach,224,11.6,20.1,8.9,70.6,6.7,64.1,4.5,71.8,77,2.91,58,32,33,47
70732,Tristach,1440,16.9,18.9,2.6,77,4.6,69,11.9,88.5,555,2.59,434,79,85,187
70731,Thurn,615,15,20.7,3.6,82.1,1.8,70.2,13.2,81.8,261,2.36,181,52,55,102
70729,Strassen,795,15.1,18.1,6.2,77,4.1,65.5,10.5,79.7,278,2.86,221,66,69,250
70728,Sillian,2029,13.4,19.9,7,75.1,4.3,65.9,9.3,54.8,855,2.32,530,182,214,1150
70727,Schlaiten,463,13.6,20.3,2.4,78.8,3.1,73,3.8,82.7,182,2.54,135,36,37,68
70726,St. Veit in Defereggen,645,14.3,18.9,2.8,65.7,18.4,63.7,4.5,71.6,226,2.85,168,41,45,107
70725,St. Johann im Walde,298,17.1,19.1,2.7,80.5,3,73.7,2.8,75.6,104,2.87,88,30,32,91
70724,St. Jakob in Defereggen,840,14.2,23,4.4,61.7,19.4,69.3,7.4,45.4,337,2.49,240,115,127,285
70723,Prägraten am Großvenediger,1141,13.4,18,2.7,74.7,8,65.7,3.6,73.9,384,2.97,311,79,91,194
70721,Obertilliach,664,11.7,22,2.1,74.3,7,65.5,7.3,55.2,242,2.74,179,94,100,223
70720,Oberlienz,1468,14.3,17.9,3,78.8,3.8,71.7,7.5,79.6,524,2.8,421,115,120,327
70719,Nußdorf-Debant,3366,14.8,19.5,4.6,77.5,4,70.2,10,74.9,1417,2.29,961,196,244,1498
70718,Nikolsdorf,881,16.9,20.3,4.8,78.5,3.2,70.9,9.2,75,351,2.51,251,72,76,236
70717,Matrei in Osttirol,4646,15.2,18.7,1.8,76.7,6,68.4,6.7,50.5,1680,2.71,1275,352,399,2062
70716,Lienz,11900,12.8,24,11,70.9,7,63.5,14.3,34.4,6082,1.9,3116,1291,1583,11130
70715,Leisach,716,13.8,24.3,3.2,74.9,3.4,71.8,10.5,82.7,302,2.37,208,44,49,207
70714,Lavant,330,18.2,10.3,2.4,83.5,2.9,73.3,11.1,78.2,126,2.62,95,28,34,227
70713,Kartitsch,770,14.2,26,3.2,69.8,7.9,62.2,10.3,67.2,275,2.8,208,83,90,164
70712,Kals am Großglockner,1130,12.1,19.1,5.3,73.5,10.1,70.9,6.8,62.7,416,2.72,319,117,128,357
70711,Iselsberg-Stronach,599,14.7,20,8.8,74.4,2,69.7,9.4,77.3,260,2.3,167,54,54,117
70710,Innervillgraten,911,17,17.3,1.9,78.8,4.4,64.6,2.4,59.2,264,3.45,222,99,101,248
70709,Hopfgarten in Defereggen,693,12.6,23.2,4.2,75.3,6.3,66.2,8.3,65.1,261,2.66,189,56,62,210
70708,Gaimberg,847,16.5,19.7,4.1,79.6,3.7,70.7,13.4,78.6,340,2.49,251,74,89,225
70707,Dölsach,2320,15,18.8,5.8,78.6,3.7,69.1,9.7,77.6,990,2.34,673,160,171,644
70706,Außervillgraten,749,14.3,23.6,0.9,76.6,5.3,67.3,5.9,62.9,245,3.06,213,81,85,222
70705,Assling,1791,14.8,21.8,3.1,76.6,3.9,67.6,8.9,61.8,687,2.61,510,134,146,784
70704,Anras,1234,16.3,19.3,3.3,76.5,2.8,65,6.8,75,426,2.9,339,83,88,270
70703,Amlach,496,17.7,13.7,5.8,78.5,2.8,68.6,12.5,81.2,179,2.77,128,36,37,135
70702,Ainet,926,15.6,18.3,2.6,78.6,3.7,67,10,75.9,369,2.51,262,60,64,301
70701,Abfaltersbach,653,18.4,17.8,3.2,77,2.1,66,10.1,63,246,2.65,177,60,68,665
70630,Zams,3390,14.5,19.6,9.6,75.9,4.7,61.4,15.4,61.6,1381,2.39,961,209,260,3151
70629,Tösens,747,17.4,15.1,9.2,73,11.4,70.2,4.7,80.2,272,2.75,219,42,45,89
70628,Tobadill,515,15.5,18.4,7,75,5.8,66.4,6.9,88.6,197,2.61,149,16,22,61
70627,Strengen,1237,16.8,17.1,3.9,74.1,5.8,66.8,6.9,89.7,449,2.76,370,27,32,145
70626,Stanz bei Landeck,582,15.8,14.6,4,74.3,4.4,64.5,14.3,84.6,212,2.75,169,33,41,138
70625,Spiss,106,5.7,17.9,13.2,70.4,12.3,58,0,85.7,49,2.16,28,10,10,14
70624,Serfaus,1129,13.4,16.2,11.2,66,22.4,70.4,7.1,30.7,432,2.61,315,228,254,739
70623,See,1266,19.7,12.2,5.7,68.9,14,66.2,6.5,73.3,439,2.88,350,74,81,321
70622,Schönwies,1683,16.9,17.8,5.7,75.2,3.9,63.7,9.5,85.7,651,2.59,497,71,80,564
70621,St. Anton am Arlberg,2342,11.4,20.8,16.8,59.9,18.7,64,13,33.2,1019,2.27,650,408,449,1282
70620,Ried im Oberinntal,1250,15.8,16.7,13,69.2,14.3,67.8,9.1,57.2,515,2.35,348,135,155,877
70619,Prutz,1866,14.8,16.4,14.7,69.4,12.3,64.3,8,70.4,779,2.4,536,122,143,755
70618,Pians,806,15.6,20.2,10.5,72.7,9.5,59.4,12.9,75.9,291,2.77,250,52,58,416
70617,Pfunds,2601,16.1,17.6,9.9,69.2,13.4,67.8,4.9,63.8,1072,2.43,751,168,191,800
70616,Pettneu am Arlberg,1489,13.6,16.7,12.4,65.5,14.9,67.1,10,72.8,604,2.47,425,124,135,338
70615,Nauders,1534,16.7,16.2,13.2,65,19.4,65.3,6.7,43.8,612,2.5,443,166,180,563
70614,Landeck,7605,14.2,19,15.7,69.4,10.7,57.9,10.4,60.2,3315,2.26,2146,497,645,4380
70613,Ladis,545,16.9,16.7,7.7,67.1,19.6,70.6,4.6,54.7,205,2.66,153,92,99,203
70612,Kauns,505,17,17.4,3.8,80.4,7.6,66.6,8.4,83.3,198,2.55,144,30,31,61
70611,Kaunertal,597,15.7,19.1,7.4,76.9,6.1,73.6,5.2,50.8,213,2.8,173,60,68,306
70610,Kaunerberg,432,22.7,17.1,3.9,76.9,8.4,71,4.2,76,142,3.04,123,37,37,62
70609,Kappl,2562,14.8,17.5,4.3,65.4,15.7,59.9,6.8,58.8,913,2.81,744,182,200,722
70608,Ischgl,1573,15.5,13.1,6.6,61.2,23.2,66,7.9,18.6,601,2.62,434,366,399,1134
70607,Grins,1363,15.9,20.9,4,77.2,4.3,64.3,8.5,83.1,532,2.51,392,49,56,458
70606,Galtür,765,14.1,15.6,7.8,57.2,29.9,67.1,5.6,41.2,293,2.61,212,116,131,263
70605,Flirsch,1002,15.1,19.4,9.6,70,10.2,63,8.2,79.2,389,2.53,285,50,57,186
70604,Fließ,3064,17.9,15.3,6,75.3,6.8,64.3,7,77,1161,2.64,901,176,198,678
70603,Fiss,963,15.1,13.2,9.9,65.6,21.1,67.6,8.6,30.1,345,2.74,265,207,220,811
70602,Fendels,259,13.5,13.1,8.1,71.1,12.8,72.8,4.5,80.5,103,2.51,77,11,15,53
70601,Faggen,390,19.5,13.8,6.2,75.4,8.2,72.9,3.8,84.6,143,2.73,119,21,25,54
70531,Wörgl,14039,15.6,16.4,24.4,73.4,5.6,57.4,8.5,57.7,6265,2.21,3891,840,1140,9180
70530,Wildschönau,4272,15.4,17.7,11.5,75.9,5.8,67.5,7.5,51.3,1736,2.43,1158,481,502,1377
70529,Walchsee,1935,15.1,17.8,18.9,75.7,3,68.1,8.6,61.5,800,2.42,542,193,205,777
70528,Angerberg,1901,16,17.7,7.8,79.7,1.9,66.9,12.7,78.8,759,2.5,572,158,168,379
