Community Code,"Bundesland, Politischer Bezirk, Gemeinde",total population,"Proportion of people
 under 15 years","Proportion of people
 65 years and older",share of non-Austrian citizens,"employment rate
 of 15 to 64 year olds","unemployment rate
 (15 years and older)",Share of people with secondary education,Share of people with tertiary education,Share of commuters in active employment,Number of private households,average household size,Number of families,Companies,Workplaces,Employees in the workplaces
40814,Meggenhofen,1526,18.4,14.6,3.9,83.4,2,65.7,10,80.2,573,2.66,437,120,132,404
40813,Kematen am Innbach,1433,18.6,13.6,7.5,81.1,3.8,70.5,6.3,84.4,545,2.63,412,87,92,239
40812,Kallham,2505,13.1,22.8,4.3,79.5,2.7,61.9,8.2,77,1000,2.43,711,195,208,865
40811,Hofkirchen an der Trattnach,1637,16.6,15.7,8.7,80.9,1.9,63,8.9,73.5,664,2.46,464,127,132,830
40810,Heiligenberg,698,14.9,16.2,3.3,81.7,1.2,65.5,6.9,77.6,247,2.83,204,62,63,139
40809,Haag am Hausruck,2210,16.3,17.3,10.3,80.7,2.3,61.6,12.5,63.6,884,2.5,628,202,232,1781
40808,Grieskirchen,4951,15,22.1,18.3,73.7,5.4,54.9,14,64.9,2214,2.19,1348,463,596,5955
40807,Geboltskirchen,1452,16.1,18.3,5,79,3.1,65.1,9.8,78.1,559,2.6,418,114,118,285
40806,Gaspoltshofen,3596,14.6,20.2,7.9,76.1,2.2,64.4,7.9,60.9,1325,2.55,982,272,299,1805
40805,Gallspach,2785,15.5,19,23.3,75.1,5.1,59.4,8.6,82.4,1185,2.25,738,150,168,639
40804,Eschenau im Hausruckkreis,1064,14.4,17.4,1.3,83.7,0.3,62.5,5.2,82.1,349,3.05,310,84,86,266
40802,Bad Schallerbach,4223,13.6,19.7,16.3,79.9,3,59.8,12.3,72.1,1978,2.09,1141,263,303,2279
40801,Aistersheim,924,15.7,15.8,6.2,82.8,1.8,66,9.6,81.9,358,2.58,275,76,81,226
40720,Vorchdorf,7524,16.3,16.7,9.3,79.1,4,63.9,8.4,57.8,3065,2.45,2198,582,646,4444
40719,Scharnstein,4869,16.1,19.6,7.8,78.1,2.7,65.7,10.9,55.8,1992,2.41,1371,394,437,2493
40718,Traunkirchen,1636,12.6,23.2,5.9,76.3,1.7,65.2,15.9,76.2,782,2.09,474,146,159,601
40717,St. Wolfgang im Salzkammergut,2790,14.8,20.6,9.4,80.5,2,68.5,9.4,57.6,1153,2.41,794,334,356,1359
40716,St. Konrad,1148,16.8,17.4,4.5,84,1.5,66.6,8,79.8,441,2.6,341,100,106,232
40715,Roitham am Traunfall,1995,15.5,16.9,5.3,81.2,2.3,68.5,10.4,77.1,808,2.47,586,145,156,754
40714,Pinsdorf,4034,15.1,17.7,12.2,77.7,3.8,65,10.2,83.2,1707,2.35,1207,216,241,1322
40713,Ohlsdorf,5196,16.8,18,6.3,78.2,2.8,67.5,12.4,78.7,2130,2.44,1582,350,378,2061
40712,Obertraun,750,11.2,23.9,17.6,75.6,2.6,70.3,7.5,60.4,341,2.2,226,55,66,308
40711,Laakirchen,9835,15.4,17.9,15.2,76.4,4.2,64.4,7.1,59.7,4124,2.36,2810,561,641,6438
40710,Kirchham,2192,16.6,15.9,4.5,82.5,1.5,67.1,8,70.9,874,2.51,641,193,208,875
40709,Hallstatt,755,10.1,26,17.6,73.7,2.4,64.8,12.1,43.3,388,1.95,214,88,115,551
40708,Gschwandt,2825,16.3,16.5,4.6,81.2,2.2,66.4,12.3,80.5,1110,2.55,838,223,241,930
40707,Grünau im Almtal,2066,15.2,24.1,7.3,78.5,4.3,65.5,10.3,63.8,909,2.27,585,206,224,656
40706,Gosau,1785,12.5,23.9,8.2,75.7,2.5,69.8,8.7,55.6,755,2.28,482,141,159,723
40705,Gmunden,13243,12.4,24.8,17.8,73.5,4.8,55.8,20,55.4,6478,1.98,3498,1253,1547,10696
40704,Ebensee am Traunsee,7682,12.4,23.2,7.7,73.8,3.8,66.1,11.1,64,3594,2.11,2268,420,481,2417
40703,Bad Ischl,14083,13.4,23.5,13.1,74.8,4.1,62.3,13.7,43.9,6697,2.08,3867,1148,1375,7161
40702,Bad Goisern am Hallstättersee,7550,12.8,22.2,6.5,78.1,1.9,70.7,10.1,49.5,3274,2.27,2200,520,583,3487
40701,Altmünster,9841,14.9,21,8,76.5,2.6,62.3,16.7,71.1,4218,2.29,2830,759,831,3289
40627,Bad Zell,2898,16.5,18.6,2.4,82.4,1.8,63.8,10,63.1,970,2.93,827,283,304,1173
40626,Windhaag bei Freistadt,1576,16.4,17.4,3.2,77.9,3.2,64.4,5.3,68.6,597,2.64,453,149,159,434
40625,Weitersfelden,1048,17.2,19.6,3.9,81.7,1.2,66.1,6.8,70.3,418,2.51,295,105,115,286
40624,Wartberg ob der Aist,4317,15.6,17,2.7,79.2,1.6,66.7,12.1,81.9,1707,2.47,1283,236,254,1303
40623,Waldburg,1408,18.3,16.2,1.1,78.2,2,64,8.5,79.5,521,2.7,406,111,118,240
40622,Unterweitersdorf,2178,16.3,15.2,2.4,79.7,2.8,67.1,12.3,86.1,888,2.45,664,150,170,796
40621,Unterweißenbach,2174,16.9,20,1.4,81.7,1.6,61.9,5.3,56.6,736,2.86,612,217,241,1189
40620,Tragwein,3129,16.6,17.1,3.2,82.2,2.3,64.5,9.2,71.2,1191,2.63,912,277,288,1158
40619,Schönau im Mühlkreis,1958,17.9,17.3,1.2,80.5,1.7,65,6.6,67,746,2.58,566,166,175,553
40618,St. Oswald bei Freistadt,2885,16.4,15.4,3.1,80.8,3,67.1,6.4,78.9,1172,2.46,843,188,195,692
40617,St. Leonhard bei Freistadt,1375,15.3,19.9,2.3,80.2,2.3,62.4,5.6,74.7,550,2.5,398,111,120,279
40616,Sandl,1390,14.2,19.9,2.9,77,3.7,62.1,5.9,75.4,572,2.43,401,112,120,276
40615,Rainbach im Mühlkreis,2988,17.5,19.9,3.9,79.4,3.6,64.7,7.5,72.1,1091,2.66,850,213,228,905
40614,Pregarten,5476,14.9,17.8,4.9,79.8,2.7,66.2,10.1,78,2317,2.32,1616,351,408,1972
40613,Pierbach,1026,19.4,15.3,1.9,79.9,2.1,64,4.7,71.9,351,2.92,295,89,92,211
40612,Neumarkt im Mühlkreis,3170,16,18,2.6,79.6,1.5,65.9,10.9,78.4,1173,2.69,951,270,283,857
40611,Liebenau,1567,14,20,0.6,80.7,2.2,63.4,5.2,62.3,617,2.52,445,173,186,520
40610,Leopoldschlag,1004,14.8,18.6,3.3,79.6,2.1,66.9,5.6,71.2,397,2.53,293,95,100,259
40609,Lasberg,2834,15.1,19.7,2.8,81,1.8,66.4,9.1,78.3,1056,2.61,803,208,222,804
40608,Königswiesen,3089,16.9,16.1,1,81.2,1.5,62.2,5.7,65.5,1046,2.95,884,269,292,976
40607,Kefermarkt,2136,16.9,17.3,3.2,80.6,2.2,68.5,10,79.8,851,2.51,645,163,178,800
40606,Kaltenberg,620,16.9,16.8,1.3,80,2.6,59.8,5.8,73.7,200,3.1,175,65,66,146
40605,Hirschbach im Mühlkreis,1181,16.9,19.1,2,80.4,2,67.3,8.1,74.2,443,2.67,356,112,114,332
40604,Hagenberg im Mühlkreis,2772,14.8,15.5,4,77.7,2.1,61,19.3,79.4,1159,2.37,812,199,242,1381
40603,Gutau,2732,15.2,16.8,2.8,79.4,2.4,62.7,8.8,74.3,1013,2.66,809,243,250,727
40602,Grünbach,1943,16.8,15.8,2.2,79.8,2.9,65.4,6.3,77.3,739,2.62,565,160,170,455
40601,Freistadt,7949,15.6,19,9.9,74.3,5.4,60,13.2,59.5,3565,2.19,2213,575,772,5750
40512,Stroheim,1609,15.7,16.8,1.5,81.9,1.4,65.9,7.2,80,602,2.67,490,146,151,333
40511,Scharten,2277,17.6,16.3,4.5,79.4,2.3,65.9,13,82.2,903,2.52,671,176,182,479
40510,St. Marienkirchen an der Polsenz,2319,14.1,17.6,3.9,80.7,2.2,66.6,9.4,80.1,934,2.48,697,194,201,504
40509,Pupping,1795,14,19.3,5.5,78.9,2.1,66.1,9.9,80.1,729,2.44,537,153,180,998
40508,Prambachkirchen,2932,16.5,16.2,6.1,79.2,1.6,64.1,8.6,73.5,1126,2.57,857,195,214,1205
40507,Hinzenbach,2055,15.8,16.4,7,81.5,1.8,67.8,7.9,81.4,801,2.55,623,139,148,802
40506,Hartkirchen,4070,13.6,21.4,3.4,81,1.3,64.6,7.8,74.7,1588,2.51,1178,342,370,1282
40505,Haibach ob der Donau,1285,13.2,19.2,2.3,82.3,1.9,62.5,9.1,75.7,503,2.55,369,124,132,368
40504,Fraham,2390,16.2,17.4,7.2,82.2,2.1,64.6,11.1,82.4,973,2.46,717,177,186,1158
40503,Eferding,4271,16.3,18.7,19.7,76.6,4.7,57.1,10.1,72.1,1975,2.08,1102,327,441,3505
40502,Aschach an der Donau,2186,15.9,20.7,15.6,77.1,3.3,59.8,11.3,76.9,955,2.29,612,133,166,965
40501,Alkoven,5984,15.9,17.4,8.4,76.8,2.3,63.8,12.7,80.2,2505,2.34,1761,372,408,1760
40446,Weng im Innkreis,1374,11.1,19.7,6.2,77.8,3.6,67.5,5,71.7,579,2.37,419,108,117,903
40445,Überackern,684,12.3,18,28.8,70,2.9,63.3,8.8,92.6,283,2.42,217,23,24,43
40444,Treubach,723,15.4,18.4,8.2,79.5,3.2,63.1,5.9,76.2,287,2.52,210,72,73,173
40443,Tarsdorf,2055,13.1,19.1,8.8,79.5,1.8,62.7,6.8,67.7,777,2.64,614,152,157,891
40442,Schwand im Innkreis,994,17.5,16.9,6.3,83.1,1.3,65.2,7.4,74.5,375,2.65,303,101,106,278
40441,Schalchen,3986,15,17.2,15.9,78,4.6,61.8,7.4,82.6,1573,2.53,1196,214,237,1374
40440,St. Veit im Innkreis,405,15.8,17.5,6.9,82.6,1.7,64.8,5,87.3,152,2.66,124,19,20,35
40439,St. Radegund,590,13.7,18.6,10,77.2,2.5,61.1,10,77.4,251,2.34,173,48,50,135
40438,St. Peter am Hart,2403,13.5,19.6,13.2,71.5,2.9,63.8,10.8,80.6,968,2.4,718,146,160,694
40437,St. Pantaleon,3161,15,19.7,14.1,76.4,4.9,61.3,7.8,77.3,1386,2.27,922,220,235,863
40436,St. Johann am Walde,2039,14.1,17.8,5.6,80.3,3,61.5,5.6,73.8,785,2.59,605,154,160,464
40435,St. Georgen am Fillmannsbach,419,13.4,13.8,3.8,81.3,1.6,59.2,7.7,80.3,163,2.57,121,49,49,221
40434,Roßbach,908,13,18.6,4.8,79.4,2.7,63.4,5.9,79.8,384,2.36,263,72,78,254
40433,Polling im Innkreis,997,16.5,19.9,7.1,81.7,3.1,63,5,72.1,403,2.47,291,85,88,306
40432,Pischelsdorf am Engelbach,1700,13.9,18.3,10.8,81.5,2.9,61.3,5.5,79.2,668,2.54,497,147,151,316
40431,Pfaffstätt,1156,15.8,15.9,19.5,76.4,4.1,62.6,8,74.3,460,2.49,333,71,78,1227
40430,Perwang am Grabensee,1040,16.9,14.7,7.4,83.1,2.6,65,12.4,81.2,409,2.54,309,102,106,213
40429,Palting,967,13.4,17.6,4.2,82.6,2.1,68,9.6,77.2,395,2.45,300,95,96,261
40428,Ostermiething,3277,15.2,19.9,13.5,76.5,3.3,62,6.6,78.3,1356,2.35,926,164,190,955
40427,Neukirchen an der Enknach,2288,16.4,17.3,9.1,79.6,3.2,65.6,6.5,77.9,905,2.53,671,179,185,628
40426,Munderfing,3068,15,16.5,12.9,79.8,3.3,63.4,9.1,75.7,1223,2.5,910,194,214,2169
40425,Moosdorf,1690,14.8,17.7,10,81.6,2.6,64.4,7.2,75.4,698,2.42,506,142,155,631
40424,Moosbach,1067,17.2,15.1,13,79.9,3.9,62.4,5.3,79,420,2.54,305,90,96,226
40423,Mining,1255,14.7,17.2,6.9,77,2.2,66.2,11.5,83.8,530,2.37,386,84,87,204
40422,Mauerkirchen,2531,13.7,19.6,24.9,73.7,6.1,54.4,6.8,79.8,1076,2.25,684,103,128,959
40421,Mattighofen,6924,16.2,15.4,36,75.7,6.1,51.2,6.5,66.2,2764,2.46,1961,354,463,5400
40420,Maria Schmolln,1411,12.7,21.6,5,81.8,1.5,57.9,7.1,69.2,497,2.65,391,131,138,465
40419,Lochen am See,2808,17.5,15,4.6,84.3,2,66.2,10.7,73.9,1137,2.47,830,245,260,852
40418,Lengau,4809,15.8,16.8,11.2,78.6,3.6,65,6.6,69.9,1960,2.45,1409,290,321,2464
40417,Kirchberg bei Mattighofen,1193,17.1,16.4,5.9,83.4,1.3,64.7,10.9,76.6,444,2.69,357,98,102,269
40416,Jeging,702,16.8,14.1,13.5,79,3.9,63.5,6,79.9,275,2.55,205,49,51,200
40415,Höhnhart,1440,15.9,17.4,6.9,80.1,2.6,61.8,5.5,67.6,601,2.4,412,140,142,577
40414,Hochburg-Ach,3263,14.2,21,23.6,72.8,1.6,65,9.8,77.1,1386,2.35,966,198,208,749
40413,Helpfau-Uttendorf,3710,16.3,16,24.7,75.4,6.7,54.8,4.9,77.3,1448,2.56,1055,230,245,1127
40412,Handenberg,1301,15.9,17.1,6.9,80.2,1.9,60.8,7.7,70.6,510,2.55,377,130,133,391
40411,Haigermoos,630,17.5,17.6,6.3,80.2,2.9,64.6,10.6,80.5,247,2.55,193,47,49,86
40410,Gilgenberg am Weilhart,1351,14.3,18.1,9.5,79.6,2.5,63,7.2,76.8,518,2.58,388,110,118,384
40409,Geretsberg,1173,17.6,17,9.8,78.4,2.2,61.2,6.1,71.4,458,2.52,332,87,93,573
40408,Franking,1007,11.8,18.6,11.9,81.6,3.3,65.4,8.4,74.8,417,2.41,301,83,86,416
40407,Feldkirchen bei Mattighofen,2010,15,16.1,5.5,82.2,2.9,61.7,7.5,75.4,781,2.57,597,181,188,521
40406,Eggelsberg,2462,14.7,16.9,10.4,79.4,3.5,62.9,8.3,64.9,995,2.44,713,199,214,2544
40405,Burgkirchen,2689,14.8,16.6,9.9,79,3.2,65.1,7.7,76.8,1041,2.58,797,220,236,810
40404,Braunau am Inn,17493,14,20.7,25.9,70.6,7.6,54.9,9.6,37.4,7997,2.15,4821,926,1169,13901
40403,Auerbach,640,17.8,14.2,10.8,80.5,2.5,65.2,6.3,85,252,2.54,194,59,61,125
40402,Aspach,2616,16,14.9,9.4,80.5,3.3,63.3,6.9,69.3,1065,2.46,739,225,246,1057
40401,Altheim,4989,13.6,20.7,13.7,76,5,63.1,7.7,66.2,2203,2.24,1452,389,427,2330
32530,Zwettl-Niederösterreich,10789,12.3,22.7,2.5,78.3,2.6,64.7,11.6,38.2,4563,2.31,3030,1123,1336,8620
32529,Waldhausen,1218,14.5,21.9,2.2,81.1,2.6,63.7,6.7,70.6,486,2.51,351,118,129,555
32528,Bad Traunstein,1008,16.7,20,0.6,82.8,1.8,69.6,7.5,64.5,394,2.56,278,134,140,369
32525,Schweiggers,2007,16.2,18.8,1.8,82.3,2.3,67.9,6.5,64.4,777,2.58,585,219,225,626
32524,Schwarzenau,1522,13.9,22.3,2.8,74.8,5.6,63.8,9,73.5,660,2.3,432,107,123,419
32523,Schönbach,780,12.6,21.3,2.6,84.1,1.5,63.3,6.6,61.8,296,2.64,217,112,122,400
32522,Sallingberg,1264,14,24.1,3.5,80.3,2.7,66.2,6.3,63.9,484,2.61,374,151,161,443
32521,Rappottenstein,1724,15.5,19.5,1.5,81.1,1.7,68.3,7.8,63.6,677,2.55,485,219,233,639
32520,Pölla,923,13.9,24.1,3.8,76.4,4.2,66.8,5.7,69.3,405,2.28,263,92,100,244
32519,Altmelon,844,14.8,19.7,0.1,81,1.7,68.6,3.8,70,323,2.61,251,92,95,215
32518,Ottenschlag,995,12,25.6,3.8,77,3.4,64.5,12,51.7,426,2.32,278,138,158,962
32517,Martinsberg,1102,15.2,20.6,4.4,79.1,1.5,70.2,5.2,60.5,410,2.69,323,126,130,452
32516,Langschlag,1736,15.3,20.9,1.7,80.1,1.3,66.3,6.1,63.2,670,2.59,493,183,191,493
32515,Kottes-Purk,1459,13.4,21.2,2.1,76.6,4,68.3,5,59.3,580,2.52,427,176,184,524
32514,Kirchschlag,621,11.3,21.3,2.1,80.9,2.5,71.5,5.3,71.9,242,2.57,184,84,87,176
32511,Gutenbrunn,521,12.5,27.1,4.6,77.8,1.9,63.8,8.1,81,235,2.22,145,41,45,103
32509,Großgöttfritz,1380,14.3,17.6,2.4,83.1,1.8,68.7,4.3,69.3,504,2.74,407,153,159,824
32508,Groß Gerungs,4449,14.8,20.1,1.5,80.7,2.5,66.5,7.5,57.4,1691,2.63,1289,460,491,1937
32506,Grafenschlag,853,15,19.3,2.5,82,1.8,71.7,6.1,65.6,321,2.66,242,120,126,387
32505,Göpfritz an der Wild,1816,13.1,21.6,2.5,79.3,4.4,65.6,4.8,72.4,745,2.44,524,163,176,502
32504,Echsenbach,1271,15.3,17.8,3.1,77.3,2.5,67.7,5.4,73.1,519,2.45,374,95,105,533
32503,Bärnkopf,351,12,21.1,1.1,74.5,2.7,67.3,3.6,76,136,2.58,103,30,33,73
32502,Arbesbach,1610,14,19.4,1.2,83,1.5,64.1,6.7,61.3,580,2.78,450,221,235,548
32501,Allentsteig,1779,10.8,28.7,2.5,75.2,5.6,62.2,8,70.2,867,2.04,505,102,129,1081
32338,Zillingdorf,2060,13.8,18.3,6.9,75.6,6.4,68.8,9.4,88.7,921,2.24,632,110,121,221
32337,Wöllersdorf-Steinabrückl,4581,16.4,16.7,11.3,75.9,6.3,66.1,10.5,82.8,1977,2.32,1350,269,315,2007
32336,Winzendorf-Muthmannsdorf,1859,12.6,21.2,7.5,75.4,5.5,67.7,13.5,77.6,863,2.15,555,135,144,642
32335,Wiesmath,1515,15.5,20.5,2,80.1,2.8,68.4,9.2,70.2,592,2.56,441,152,159,393
32334,Weikersdorf am Steinfelde,1069,14,17,4.1,75.7,2.6,65.5,12.3,77,443,2.41,321,91,106,1451
32333,Walpersbach,1149,16.3,18.5,4.3,77.7,4,68.9,13.2,85.7,464,2.48,349,85,88,171
32332,Waldegg,2055,14.9,19.1,14.7,71.6,7.1,61.9,9.7,73.9,934,2.2,593,125,134,1452
32331,Waidmannsfeld,1503,9.9,26.3,7.8,71.7,5.7,64.3,8.7,85.8,745,2.01,451,84,91,221
32330,Theresienfeld,3673,18.7,16.3,18.3,73.7,7.4,62.1,11.3,86,1509,2.43,1065,214,244,1018
32327,Sollenau,5194,13.9,22.7,13.7,68.8,8.5,62.4,7.4,82.3,2320,2.19,1465,292,339,2128
32326,Schwarzenbach,927,12.4,22.5,4.4,76.5,5.1,66.4,6.7,73.9,381,2.43,272,87,92,205
32325,Bromberg,1188,15.3,20.3,5.1,80.7,1.8,68.1,11,70.4,408,2.91,354,126,133,382
32324,Rohr im Gebirge,461,15.4,20.8,4.1,77.2,1.3,64.4,4.9,51.3,179,2.58,129,69,73,172
32323,Pernitz,2491,13.9,23.9,11.8,70.8,8.3,58.8,8.5,59,1189,2.08,681,418,449,1561
32322,Muggendorf,510,11,20,6.9,81,3.3,69.8,11.7,76.4,220,2.32,153,50,52,127
32321,Miesenbach,678,13.4,21.5,6.2,79.6,2.1,71.7,8.5,71.7,285,2.38,190,81,84,183
32320,Matzendorf-Hölles,2091,14,21.4,6.5,76.4,6.2,72.7,8.7,84.5,890,2.31,642,160,170,384
32319,Markt Piesting,3088,16,18.8,12.5,74.8,5.5,63.3,14.4,75,1333,2.3,877,217,237,1068
32318,Lichtenwörth,2766,13,20.7,9.9,71.7,7.3,64.6,9.2,77.4,1220,2.25,823,201,222,969
32317,Lichtenegg,1044,15.1,19.6,1,82.2,3.2,71.4,8.9,67,390,2.68,288,139,145,331
32316,Lanzenkirchen,3986,15.4,17.5,7.8,76.7,4.2,66.2,11.9,83.8,1678,2.37,1174,234,253,1195
32315,Krumbach,2276,15.7,19.2,2.4,80.3,3.1,72.5,8.1,64.7,964,2.36,642,243,260,1134
32314,Kirchschlag in der Buckligen Welt,2838,14.8,22.9,4.1,78,4,71.1,8.5,56.6,1150,2.44,814,290,325,1268
32313,Katzelsdorf,3223,14.7,19.5,4.9,77.2,4.1,60.3,23.5,83,1338,2.41,983,246,268,712
32312,Hollenthon,1008,14.9,18.3,2.6,77.4,2.4,70,8.2,76.2,395,2.55,289,86,91,194
32311,Hohe Wand,1401,14.1,18.3,5.6,76.2,4,65.9,14.5,78.2,586,2.38,428,132,139,305
32310,Hochwolkersdorf,1017,13.3,22.6,3.4,77.5,3.9,66.9,9.1,83.1,426,2.37,303,86,95,185
32309,Hochneukirchen-Gschaidt,1639,13.2,19.6,0.9,79.7,2.5,67,6.3,78.1,648,2.53,486,148,159,325
32308,Gutenstein,1271,12.2,28.9,9,70.6,7.3,65.1,8.2,64.2,512,2.22,322,113,128,510
32307,Felixdorf,4356,14.7,22.2,12.5,70.4,9.2,60.7,8.2,85.6,1992,2.19,1257,227,258,796
32306,Bad Erlach,3142,14.4,19.9,6.2,77.2,5.4,66.4,12,83.4,1374,2.19,893,186,213,1292
32305,Eggendorf,4919,12.7,24.5,13.9,73,7.9,67,8,88.5,2188,2.25,1499,205,239,714
32304,Ebenfurth,3122,15.7,18.4,19.3,68.9,10.9,59.3,8.1,85.1,1426,2.19,884,177,207,2585
32302,Bad Schönau,726,15.3,24.7,2.6,75.9,3.6,69.1,8,56.8,261,2.59,198,84,91,966
32301,Bad Fischau-Brunn,3457,16.1,19.1,7.2,77,4.7,60.6,21.1,78.5,1540,2.24,1005,280,320,1300
32223,Windigsteig,921,11.1,22.5,1.1,79.4,4.6,65.1,6.7,80,398,2.31,265,82,86,220
32222,Waldkirchen an der Thaya,503,8.2,30.4,2,75.7,2.4,66,6.3,66.7,242,2.08,149,66,74,138
32221,Waidhofen an der Thaya-Land,1273,16.2,15.7,0.2,83.5,1.5,70.2,7.9,85,468,2.72,372,91,93,149
32220,Waidhofen an der Thaya,5363,11.7,24.1,3.9,74.7,3.9,63.6,13.4,48.1,2491,2.09,1466,494,616,4841
32219,Vitis,2664,14.7,20.5,2.1,79,4,64.9,6.1,68,1135,2.35,761,235,261,1258
32217,Thaya,1378,13.8,19,1.2,79.8,3.3,66.2,7.5,77.8,580,2.38,389,107,115,270
32216,Raabs an der Thaya,2644,10.2,30.6,3.8,75,3.4,66.9,8.2,50.9,1180,2.15,728,329,358,1280
32214,Pfaffenschlag bei Waidhofen a.d.Thaya,924,13,22.5,1.2,76.8,3.7,64.2,7.1,76.1,382,2.42,263,87,89,319
32212,Ludweis-Aigen,904,13.2,25.8,1.5,78.8,3.2,71.1,7.1,74,392,2.31,259,111,116,188
32210,Kautzen,1119,13,24.6,3,75.4,3.9,66,6.9,73.2,498,2.25,320,97,106,337
32209,Karlstein an der Thaya,1477,14,22.6,3.4,76.7,3.6,65.4,7.2,58.1,644,2.29,426,145,155,1030
32207,Groß-Siegharts,2722,12.1,24.5,3.8,69.9,8.5,64.3,6.5,65.5,1318,2.05,736,204,230,1297
32206,Gastern,1196,12.2,22.7,0.9,79.2,2,65.8,5.2,74.8,492,2.43,353,102,107,450
32203,Dobersberg,1586,13.9,22.5,2.9,77.2,4.6,69.5,6.6,61.1,663,2.39,455,175,193,654
32202,Dietmanns,1040,10.5,25.2,1.7,71.2,5,65,6.3,84.1,507,2.05,299,35,41,156
32144,Klosterneuburg,27487,15,22.5,14.1,73.5,4,53,31.2,66.2,12320,2.2,7727,2900,3142,10667
32143,Muckendorf-Wipfing,1664,15.3,18.4,6.4,80,2.4,69.8,12.7,87.6,759,2.19,506,79,85,167
32142,St. Andrä-Wördern,7861,13.8,21.4,10.8,75.7,4.7,62.2,21,78.3,3541,2.21,2291,613,672,1744
32141,Zwentendorf an der Donau,4095,14.9,18.5,14.8,75.8,4.7,67.2,6.2,73.2,1741,2.34,1208,189,220,1616
32140,Zeiselmauer-Wolfpassing,2315,15.2,21.4,9.5,75.8,3.6,65.4,17.7,85.3,1010,2.28,679,161,178,473
32139,Würmla,1470,15,18.7,8.2,78.1,2.9,68.3,9.8,79.5,616,2.39,436,99,108,353
32135,Tulln an der Donau,16209,13.7,18.9,15,76.2,4.7,61.7,16.3,60.6,7468,2.12,4507,1291,1599,12581
32134,Tulbing,2978,14.7,23.2,5.7,76.9,3.2,69.3,14.6,80.4,1293,2.3,905,236,247,522
32132,Sitzenberg-Reidling,2231,14.4,19.9,7.6,77.4,3.4,66.6,11.3,75.8,897,2.41,625,157,171,779
32131,Sieghartskirchen,7528,14,19.3,11.4,77.9,4.2,66.9,12.7,75.4,3202,2.35,2250,571,618,2362
32120,Michelhausen,3424,16.5,15.4,10.1,77.6,3.7,65.7,14.3,77.5,1357,2.48,1020,260,287,1485
32119,Langenrohr,2426,15.9,16.7,11,77.9,3.8,70.4,9.3,79.5,1003,2.42,715,185,232,1103
32116,Königstetten,2525,18.8,15.9,8.5,78.7,2.5,65.5,18.3,84.6,1057,2.38,765,236,249,545
32115,Königsbrunn am Wagram,1370,14.7,17.4,7.1,78.6,3,63.8,9.2,80.1,541,2.53,413,94,103,342
32114,Kirchberg am Wagram,3709,15.5,19.8,6.6,77.6,3,63.2,11.5,73,1541,2.41,1110,382,416,1212
32112,Judenau-Baumgarten,2285,15.9,17.5,10.6,78.3,3.5,66,13.2,81.5,919,2.47,694,147,162,701
32110,Großweikersdorf,3191,13.7,21.2,4.9,78.3,3.5,67,10.5,77,1390,2.3,951,249,276,855
32109,Großriedenthal,919,14.4,20.6,2.2,82.3,2.7,69.3,7.4,68.3,358,2.57,269,103,108,240
32107,Grafenwörth,3173,13.9,23.9,4.9,78.5,3.6,65.4,8.8,75.6,1291,2.34,930,237,263,1098
32106,Fels am Wagram,2356,14.7,17.1,6.3,81.5,2.9,63,12.7,78.8,991,2.37,734,175,187,573
32104,Atzenbrugg,3125,14.6,17.8,10.6,78.8,3.2,68.6,10.3,76.7,1283,2.42,929,223,252,1092
32101,Absdorf,2139,14.7,16.5,11.2,79.6,3.7,66.1,10.9,79.3,928,2.24,603,142,159,628
32018,Wolfpassing,1633,21,14,3.2,81.3,1.7,70.4,8.5,77.9,578,2.83,475,114,123,431
32017,Wieselburg-Land,3419,16.6,17.5,4.9,79.8,2.2,68.4,10.2,78.9,1288,2.65,1010,239,254,1037
32016,Wieselburg,4257,14.4,15.8,18.8,76,5.7,60.6,12.3,62,2046,2.07,1152,277,369,5467
32015,Wang,1358,18.3,15.8,2.4,81.9,1.4,69.7,6.2,76.4,418,3.24,392,120,127,302
32014,Steinakirchen am Forst,2249,17.2,18,2.3,81,2,67,10.2,70.3,846,2.65,651,242,262,792
32013,Scheibbs,4126,13.6,24.2,5,77.1,2.7,63.3,14,51.4,1764,2.28,1104,457,556,3778
32012,St. Georgen an der Leys,1331,16.5,16,1.9,81.8,2.2,73.4,4.6,70.8,380,3.5,388,127,133,342
32011,St. Anton an der Jeßnitz,1188,15.5,20.6,3.3,83.1,2.1,66.4,3.1,74.4,410,2.9,338,124,128,239
32010,Reinsberg,1047,20.6,14.7,1.4,80.5,1.6,72.4,5.8,69.9,344,3.04,307,92,101,252
32009,Randegg,1878,16.8,17.7,2.7,80.2,2.4,67.4,5,63.6,667,2.82,540,171,184,663
32008,Purgstall an der Erlauf,5373,16.1,18.9,4.3,78.3,2.4,68,8,61.2,1979,2.68,1515,499,564,2980
32007,Puchenstuben,291,13.7,22.7,6.9,63.2,3.2,61.4,7.6,63.9,106,2.42,75,26,34,122
32006,Oberndorf an der Melk,2959,16.5,17.5,1.7,80.7,1.8,69.5,6,70.7,1027,2.88,837,261,277,807
32005,Lunz am See,1789,14.6,25.9,3.3,78.6,2.6,69.4,8.4,52.4,773,2.31,511,204,227,843
32004,Gresten-Land,1499,17.5,16.5,1.5,81.9,1.8,69.2,6.7,73,508,2.95,427,154,156,372
32003,Gresten,1983,13.8,17.2,7.8,76.8,4.5,67.5,10.1,61.4,892,2.22,551,180,206,1855
